iter	Logloss
0	0.6905007856
1	0.687665742
2	0.6844354169
3	0.6816703533
4	0.6779447095
5	0.6735902984
6	0.6701050462
7	0.6671001829
8	0.6635581707
9	0.6599636736
10	0.6570427993
11	0.6541834864
12	0.6505018432
13	0.6478364221
14	0.6441103837
15	0.641649312
16	0.6385892671
17	0.63551837
18	0.6325186368
19	0.6287014402
20	0.6255767428
21	0.6225953595
22	0.6202367585
23	0.6177592442
24	0.6147101172
25	0.6120746876
26	0.6085245856
27	0.6045019216
28	0.6018017736
29	0.599022372
30	0.5964400193
31	0.5939114012
32	0.5910874728
33	0.5878795098
34	0.5848532052
35	0.5820583475
36	0.5790591404
37	0.5760278373
38	0.5726651159
39	0.5693762549
40	0.5669141309
41	0.5638306716
42	0.5617379813
43	0.5593595176
44	0.5564956665
45	0.5536636484
46	0.5512438149
47	0.5481200383
48	0.5448909299
49	0.5425611693
50	0.5395518994
51	0.5370209135
52	0.5344706239
53	0.5315831941
54	0.5290758856
55	0.526884638
56	0.5243830188
57	0.5209873463
58	0.5182434608
59	0.5160378423
60	0.5134808771
61	0.5113213638
62	0.5093436734
63	0.5073457915
64	0.5055903073
65	0.503370581
66	0.5017494004
67	0.4994367073
68	0.497267164
69	0.4950587832
70	0.4931984605
71	0.4902963638
72	0.487467141
73	0.4856947537
74	0.4831215431
75	0.4808210504
76	0.478925113
77	0.4774063045
78	0.474939445
79	0.4726683518
80	0.4709526917
81	0.4685817587
82	0.4668538324
83	0.4647759076
84	0.4635571447
85	0.4618358612
86	0.4596868383
87	0.457447052
88	0.4551413306
89	0.453023187
90	0.4513824068
91	0.4491801755
92	0.4471392796
93	0.4450780605
94	0.4435982869
95	0.4414034219
96	0.4394868653
97	0.4375892179
98	0.4355154366
99	0.4338579178
100	0.4323394381
101	0.4306013173
102	0.4286189901
103	0.4270377324
104	0.425578216
105	0.4237932666
106	0.4220787903
107	0.4199152651
108	0.418196448
109	0.4163681228
110	0.4146861372
111	0.4130179964
112	0.4116151415
113	0.4102020264
114	0.4086328046
115	0.4075304229
116	0.4060935645
117	0.4047888394
118	0.4030068825
119	0.401554305
120	0.3997790238
121	0.398448681
122	0.3967494965
123	0.3950318632
124	0.3935060501
125	0.3920921786
126	0.3909431326
127	0.3895666188
128	0.3879236024
129	0.3867236828
130	0.3853535488
131	0.3842666231
132	0.38288419
133	0.3811583683
134	0.3794397815
135	0.3779895717
136	0.3762706888
137	0.3747195211
138	0.3730329974
139	0.3719206185
140	0.3704788274
141	0.3688547529
142	0.3672500479
143	0.365760869
144	0.3644803146
145	0.3632033118
146	0.3620360802
147	0.3606957403
